id,opening_hours
way/325208608,
node/505769332,
way/166320158,"Mo-Tu, Sa 11:00-23:00; We-Fr 11:00-23:30; Su 12:00-22:30"
way/165589488,
way/809951119,
way/440123089,
way/469650901,
node/3815898017,
way/148677469,
way/60890308,
way/220287079,
way/220287081,
way/161420190,
way/31284161,
07b36712-9d82-467d-ae4e-c88ab674e3d1,
way/456681384,"Mo-Tu, Th, Su 12:00-24:00; We 12:00-23:00; Fr-Sa 12:00-01:00"
node/1387549550,Mo-Su 17:00-24:00+
node/375848733,Tu-Sa 12:00-23:00; Su 1200-1800
way/474422893,
way/1275812271,Fr-Sa 12:00-24:00; Su-Th 12:00-23:00
way/197691952,
node/291981188,Mo-Sa 11:00-23:00; Su 12:00-22:30
9713b5d8-b927-4d61-9248-2fa58ece1630,
node/175684023,
way/31293000,Mo-Th 12:00-23:00; Fr-Sa 12:00-01:00; Su 12:00-23:00
way/726988825,Su-Fr 12:00-22:00; Sa 10:00-22:00
93bd3dcd-350e-4e51-a639-487d5cd7a203,
way/357565938,
node/425175495,Mo-Th 12:00-23:00; Fr 12:00-00:00; Sa 12:00-23:00; Su 12:00-22:00
node/299308588,
way/469688061,Mo-Sa 12:00-23:00; Su 12:00-22:00
bd9b78f1-f8da-4f4a-ae36-9d677fec2cf4,
way/230373565,Mo-Th 12:00-23:00; Fr-Sa 12:00-24:00; Su 12:00-22:00
way/237044752,
way/352696768,Mo-Sa 10:00-02:00; Su 10:00-01:00
way/68510578,
way/67383553,Mo-Th 16:00-23:00; Fr 16:00-24:00; Sa 12:00-24:00; Su 12:00-22:00
db09097e-0523-4566-b49c-0a2eee486688,
way/751430300,
way/251492809,Tu-Fr 16:00-22:00; Sa 14:00-22:00; Su 15:00-22:00
way/209257299,"We,Th 17:00-23:00; Fr,Sa 12:00-00:00; Su-Tu off"
4bf8795f-404f-467e-84e5-7454ef2dc7bd,
way/31324086,
way/32826147,
way/156211836,
way/31900825,
way/119903501,
way/227827311,
way/68424243,Mo-Fr 12:00-22:00; Sa 10:00-22:00; Su 12:00-22:00
way/30729269,Mo-Sa 12:00-23:00; Su 12:00-22:30
node/25597628,
node/46714849,
node/491564007,
node/815398933,
way/197695792,
node/299310964,
way/230252979,
way/126145232,
way/377056423,Su-Th 11:00-23:00; Fr-Sa 11:00-24:00
node/339394917,
node/331298014,Mo-Sa 12:00-23:00; Su 12:00-22:30
way/536043069,Mo-Th 12:00-23:00; Fr-Sa 12:00-24:00; Su 12:00-22:00
way/31052744,
way/107521318,Mo-We 16:00-00:00; Th-Fr 16:00-01:00; Sa 11:00-1:30; Su 11:00-23:30
way/157026553,
way/512346650,Mo-We 11:00-23:00; Th-Sa 11:00-24:00; Su 12:00-23:00
node/302410081,Mo-Tu 16:00-22:00; We 16:00-23:00; Th-Sa 12:00-23:00; Su 12:00-21:00
way/284934739,
node/618596228,
node/10092511647,Mo 15:00-22:00; Tu-Th 12:00-22:00; Fr-Sa 12:00-23:00; Su 12:00-22:00
way/188766830,
way/67449821,
node/2208150035,
node/299595796,
way/1001831569,
way/119476480,Su-We 15:00-02:00 Th 15:00-03:00 Fr 15:00-04:00
way/31293177,
way/1089936277,"Su, We-Th 18:00-23:00; Fr 19:00-02:00; Sa 18:00-02:00"
node/288170087,
way/1061817830,Mo-Sa 11:00-24:00; Su 11:30-24:00
way/982457191,"Su-We 12:00-00:00; Th 12:00-01:00, Fr 12:00-02:00, Sa 12:00-03:00"
way/149382915,
way/31025059,Mo-We 12:00-23:00; Th-Sa 12:00-24:00; Su 12:00-23:00
node/331318827,Mo-We 15:00-23:00; Th 12:00-23:00; Fr-Sa 12:00-00:00; Su 12:00-22:30
way/198218569,
way/237999207,12:00-24:00
node/2476984665,
way/469650891,
way/222031886,Mo-Th 12:00-23:00; Fr-Sa 12:00-01:00; Su 12:00-21:00
way/374036067,"Mo off; Tu,We 17:00-23:00; Th,Fr 17:00-24:00; Sa 12:00-24:00; Su 12:00-22:30"
way/67234436,
way/119439310,
way/299662731,
way/397429638,
way/153779530,"Tu-We 16:00-23:00, Th 12:00-24:00, Fr-Sa 12:00-01:00, Su 12:00-22:00"
node/2531024418,
way/31340567,
way/352905274,
26b815e9-7d0d-4753-9395-c537d9bed12a,
way/807556793,
node/802966782,
f1a7742c-5568-4ac4-8eb7-ab29b66fd480,
way/366382271,Mo-We 12:00-23:00; Th-Sa 12:00-24:00; Su 12:00-22:30
way/501641166,Mo-Su 12:00-23:00
way/441509845,Mo 08:00-23:30; Tu-We 08:00-24:00; Th-Su 08:00-01:00
node/477938811,Mo-Th 11:00-22:30; Fr-Sa 11:00-23:00; Su 11:00-22:30
way/530088186,
way/530088481,Mo 16:00-23:00; Tu-We 12:00-23:00; Tu-Sa 12:00-00:00; Su 12:00-22:30
node/1600324548,
node/305587200,
node/593452626,
node/448921712,Mo-Th 11:00-23:00; Fr-Sa 11:00-00:00; Su 12:00-22:30
node/10213894381,
way/490082508,
node/2341125350,
node/451271,
node/273404382,
node/11269168700,
node/672835711,
way/449555765,
way/832071957,
way/1339956662,
